Time,RA2,RA1,
4.9200105e-05,2.64000e-01,3.44000e+00,
4.9400107e-05,2.68000e-01,3.28000e+00,
4.9600108e-05,2.64000e-01,3.36000e+00,
4.9800110e-05,2.76000e-01,3.44000e+00,
5.0000112e-05,2.92000e-01,3.44000e+00,
5.0200113e-05,2.52000e-01,3.28000e+00,
5.0400115e-05,2.52000e-01,3.44000e+00,
5.0600116e-05,2.96000e-01,-0.00000e+00,
5.0800118e-05,3.08000e-01,7.99999e-02,
5.1000119e-05,2.48000e-01,-0.00000e+00,
5.1200121e-05,2.48000e-01,-0.00000e+00,
5.1400122e-05,3.04000e-01,7.99999e-02,
5.1600124e-05,2.64000e-01,-0.00000e+00,
5.1800125e-05,3.00000e-01,7.99999e-02,
5.2000127e-05,2.60000e-01,-0.00000e+00,
5.2200128e-05,3.04000e-01,7.99999e-02,
5.2400130e-05,2.96000e-01,7.99999e-02,
5.2600131e-05,2.76000e-01,-0.00000e+00,
5.2800133e-05,2.76000e-01,7.99999e-02,
5.3000134e-05,2.96000e-01,-0.00000e+00,
5.3200136e-05,2.84000e-01,7.99999e-02,
5.3400137e-05,2.96000e-01,-0.00000e+00,
5.3600139e-05,2.84000e-01,7.99999e-02,
5.3800140e-05,2.96000e-01,-0.00000e+00,
5.4000142e-05,2.96000e-01,7.99999e-02,
5.4200143e-05,2.88000e-01,-0.00000e+00,
5.4400145e-05,2.96000e-01,7.99999e-02,
5.4600147e-05,2.92000e-01,-0.00000e+00,
5.4800148e-05,2.96000e-01,7.99999e-02,
5.5000150e-05,3.00000e-01,-0.00000e+00,
5.5200151e-05,2.88000e-01,7.99999e-02,
5.5400153e-05,3.16000e-01,-0.00000e+00,
5.5600154e-05,2.92000e-01,7.99999e-02,
5.5800156e-05,3.08000e-01,7.99999e-02,
5.6000157e-05,2.96000e-01,7.99999e-02,
5.6200159e-05,3.12000e-01,7.99999e-02,
5.6400160e-05,2.96000e-01,7.99999e-02,
5.6600162e-05,3.08000e-01,-0.00000e+00,
5.6800163e-05,3.04000e-01,7.99999e-02,
5.7000165e-05,3.08000e-01,-0.00000e+00,
5.7200166e-05,3.04000e-01,7.99999e-02,
5.7400168e-05,3.12000e-01,-0.00000e+00,
5.7600169e-05,3.08000e-01,7.99999e-02,
5.7800171e-05,3.12000e-01,7.99999e-02,
5.8000172e-05,3.08000e-01,7.99999e-02,
5.8200174e-05,3.16000e-01,-0.00000e+00,
5.8400175e-05,3.12000e-01,7.99999e-02,
5.8600177e-05,3.16000e-01,-0.00000e+00,
5.8800179e-05,3.12000e-01,7.99999e-02,
5.9000180e-05,3.16000e-01,-0.00000e+00,
5.9200182e-05,3.16000e-01,7.99999e-02,
5.9400183e-05,3.12000e-01,-0.00000e+00,
5.9600185e-05,3.16000e-01,7.99999e-02,
5.9800186e-05,3.20000e-01,-0.00000e+00,
6.0000188e-05,3.16000e-01,7.99999e-02,
6.0200189e-05,3.24000e-01,7.99999e-02,
6.0400191e-05,3.20000e-01,7.99999e-02,
6.0600192e-05,3.28000e-01,-0.00000e+00,
6.0800194e-05,3.24000e-01,7.99999e-02,
6.1000195e-05,3.28000e-01,-0.00000e+00,
6.1200197e-05,3.24000e-01,7.99999e-02,
6.1400198e-05,3.28000e-01,-0.00000e+00,
6.1600200e-05,3.44000e-01,7.99999e-02,
6.1800201e-05,3.12000e-01,-0.00000e+00,
6.2000203e-05,3.52000e-01,7.99999e-02,
6.2200204e-05,3.08000e-01,-0.00000e+00,
6.2400206e-05,3.60000e-01,7.99999e-02,
6.2600207e-05,3.00000e-01,-0.00000e+00,
6.2800209e-05,3.64000e-01,7.99999e-02,
